"ensembl_id","symbol","entrez_id","description","baseMean","log2FC","lfcSE","pvalue","padj"
"ENSCAFG00000001721","FSCN3",475205,"fascin actin-bundling protein 3 [Source:VGNC Symbol;Acc:VGNC:40992]",105.815147968496,-0.794153628923931,0.125622232486328,1.9446830438398e-11,2.44232743475841e-07
"ENSCAFG00000007746","PRIMPOL",475632,"primase and DNA directed polymerase [Source:VGNC Symbol;Acc:VGNC:44968]",63.368319482729,-0.82818213728344,0.138145720338436,1.55534658021178e-10,9.76679885043985e-07
"ENSCAFG00000023682","PCDHGA1",NA,"protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]",116.782598820058,1.16258190411198,0.204543543978808,7.4980479938101e-10,2.37756127555909e-06
"ENSCAFG00000009483","FARS2",488204,"phenylalanyl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol;Acc:VGNC:40732]",341.146729276883,0.562227980431074,0.0972395857290623,7.57245409844442e-10,2.37756127555909e-06
"ENSCAFG00000003681","DKKL1",610302,"dickkopf like acrosomal protein 1 [Source:VGNC Symbol;Acc:VGNC:39973]",81.1570775388385,1.03380767726245,0.189922017700092,3.01499745359816e-09,7.57307060394787e-06
"ENSCAFG00000001077","TRIB1",482039,"tribbles pseudokinase 1 [Source:VGNC Symbol;Acc:VGNC:55007]",113.512772158375,0.815212724443593,0.158403166310441,1.78428144915493e-08,3.73479845332279e-05
"ENSCAFG00000001978","CCDC138",610991,"coiled-coil domain containing 138 [Source:VGNC Symbol;Acc:VGNC:38794]",71.412051864196,-0.939762524370322,0.185016499044663,2.26261210424247e-08,4.0594493453116e-05
"ENSCAFG00000004673","KHK",100170647,"ketohexokinase [Source:VGNC Symbol;Acc:VGNC:42338]",133.02860549366,0.906423460621512,0.180868311123266,3.40867483205263e-08,5.35119340196862e-05
"ENSCAFG00000006100","DUSP6",482594,"dual specificity phosphatase 6 [Source:VGNC Symbol;Acc:VGNC:40135]",729.843184893059,0.605163885545635,0.126302907438387,1.52640637479364e-07,0.000213001529567038
"ENSCAFG00000020252","NQO1",610935,"NAD(P)H quinone dehydrogenase 1 [Source:VGNC Symbol;Acc:VGNC:53429]",310.673074896797,0.490526930594999,0.101712978908279,1.71466771548966e-07,0.000215345118388347
"ENSCAFG00000001254","EGR1",481528,"early growth response 1 [Source:VGNC Symbol;Acc:VGNC:51711]",2703.23807469737,0.765979520637212,0.164598815325245,2.05869659078919e-07,0.000235047004397468
"ENSCAFG00000028490","",608055,"D-3-phosphoglycerate dehydrogenase [Source:NCBI gene;Acc:608055]",288.474958533152,1.00362394740483,0.219038711650051,2.50171562664129e-07,0.000261825387958233
"ENSCAFG00000028566","NRSN1",478734,"neurensin 1 [Source:VGNC Symbol;Acc:VGNC:43976]",2710.72246312862,0.742676955412455,0.161335223233813,3.12110975397529e-07,0.000301523210770582
"ENSCAFG00000019865","APRT",479615,"adenine phosphoribosyltransferase [Source:VGNC Symbol;Acc:VGNC:38014]",432.806018428478,0.864193172401858,0.192247474572922,4.30844399247002e-07,0.000386498200724507
"ENSCAFG00000005289","SLITRK6",NA,"SLIT and NTRK like family member 6 [Source:VGNC Symbol;Acc:VGNC:46511]",16.0501725026438,-1.40974694757762,0.319218914378838,4.63988177437613e-07,0.000388481834695932
"ENSCAFG00000017040","FOS",490792,"Fos proto-oncogene, AP-1 transcription factor subunit [Source:VGNC Symbol;Acc:VGNC:40940]",477.925019026432,0.915183281352784,0.206789340920563,5.79862406297006e-07,0.000428381880040241
"ENSCAFG00000013049","EGR2",479219,"early growth response 2 [Source:VGNC Symbol;Acc:VGNC:51893]",298.756876411154,0.614800664193372,0.136196101332209,5.62682956338207e-07,0.000428381880040241
"ENSCAFG00000004825","ATRAID",475699,"all-trans retinoic acid induced differentiation factor [Source:VGNC Symbol;Acc:VGNC:38294]",231.946935759421,0.589496468754013,0.132702519186096,8.22474256766835e-07,0.000573858566151926
"ENSCAFG00000006875","DDX4",487211,"DEAD-box helicase 4 [Source:VGNC Symbol;Acc:VGNC:39856]",13.9196431495204,-1.88813494141556,0.450512273130139,1.18994330460417e-06,0.000786552524343358
"ENSCAFG00000013160","NPL",490313,"N-acetylneuraminate pyruvate lyase [Source:VGNC Symbol;Acc:VGNC:43921]",96.1203008629172,-0.698046032871354,0.164758099492317,1.69573785344353e-06,0.0010392439248693
"ENSCAFG00000011650","INPP5D",100688270,"inositol polyphosphate-5-phosphatase D [Source:VGNC Symbol;Acc:VGNC:42032]",466.274794071595,0.618170765739995,0.144996254274952,1.737727718947e-06,0.0010392439248693
"ENSCAFG00000005621","BHLHE40",484680,"basic helix-loop-helix family member e40 [Source:VGNC Symbol;Acc:VGNC:38446]",1983.83352122431,0.462812797989367,0.108780694191955,2.79785665828326e-06,0.0015971946259718
"ENSCAFG00000032019","",100683399,"NLR family pyrin domain containing 12 [Source:NCBI gene;Acc:100683399]",60.8675683811488,-1.58664920249887,0.403532000426322,3.38943720381343e-06,0.00179843303448622
"ENSCAFG00000008561","WDR54",475789,"WD repeat domain 54 [Source:VGNC Symbol;Acc:VGNC:48375]",536.001194081696,0.490716008425477,0.1176693571614,3.57996861709972e-06,0.00179843303448622
"ENSCAFG00000005896","RYR1",606491,"ryanodine receptor 1 [Source:VGNC Symbol;Acc:VGNC:45821]",505.424829599262,-0.419914860684307,0.0992507533631687,3.51881443840056e-06,0.00179843303448622
"ENSCAFG00000000679","SKIV2L",481720,"Ski2 like RNA helicase [Source:VGNC Symbol;Acc:VGNC:46200]",1904.51911444598,0.754635014757791,0.189534252784093,4.8685201748364e-06,0.00233221440960568
"ENSCAFG00000007408","THNSL2",475757,"threonine synthase like 2 [Source:VGNC Symbol;Acc:VGNC:47347]",158.957486912617,-0.444717174974621,0.107643896925378,5.01391743445764e-06,0.00233221440960568
"ENSCAFG00000003560","CDK5RAP2",612705,"CDK5 regulatory subunit associated protein 2 [Source:VGNC Symbol;Acc:VGNC:39058]",447.934878644899,0.458260815933751,0.111691389609749,5.35292148446781e-06,0.00240097646155112
"ENSCAFG00000019077","YIPF1",489581,"Yip1 domain family member 1 [Source:VGNC Symbol;Acc:VGNC:48487]",165.524501227396,0.379816100929582,0.0911614665053636,5.65127423745666e-06,0.00244739148786959
"ENSCAFG00000003895","HSD17B14",476420,"hydroxysteroid 17-beta dehydrogenase 14 [Source:VGNC Symbol;Acc:VGNC:41804]",164.565820241588,0.617861992668219,0.155930414415799,6.26773396154455e-06,0.00255738933883027
"ENSCAFG00000000982","NDUFA6",474483,"NADH:ubiquinone oxidoreductase subunit A6 [Source:VGNC Symbol;Acc:VGNC:43689]",597.825807251112,0.306807739011878,0.0726029303808042,6.31253041673209e-06,0.00255738933883027
"ENSCAFG00000017539","LDLR",100683160,"low density lipoprotein receptor [Source:VGNC Symbol;Acc:VGNC:42622]",265.651132020926,0.546269495262625,0.13771068565174,7.1780735049655e-06,0.00281716953590193
"ENSCAFG00000010596","",487787,"salt inducible kinase 1 [Source:NCBI gene;Acc:487787]",589.490280094027,0.824661669135415,0.215644917305416,8.03774526031838e-06,0.00289263374510326
"ENSCAFG00000012122","GPR3",487344,"G protein-coupled receptor 3 [Source:VGNC Symbol;Acc:VGNC:41429]",128.396107663232,0.681057674019558,0.176093722783709,8.0213977093127e-06,0.00289263374510326
"ENSCAFG00000004859","ECHDC3",487131,"enoyl-CoA hydratase domain containing 3 [Source:VGNC Symbol;Acc:VGNC:49790]",62.0756431905377,0.665694372580667,0.172114227546201,8.25848597799728e-06,0.00289263374510326
"ENSCAFG00000017976","PRPS1",481011,"phosphoribosyl pyrophosphate synthetase 1 [Source:VGNC Symbol;Acc:VGNC:54184]",634.035472528247,0.414276897553322,0.102529260410026,8.29164860448422e-06,0.00289263374510326
"ENSCAFG00000023972","",100126287,"CD302 molecule [Source:NCBI gene;Acc:100126287]",71.0024244403143,-0.796370508979241,0.209828900920795,9.61575980097512e-06,0.00294547139854748
"ENSCAFG00000030080","CD302",NA,"CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]",71.0024244403143,-0.796370508979241,0.209828900920795,9.61575980097512e-06,0.00294547139854748
"ENSCAFG00000018530","MAP2K3",489547,"mitogen-activated protein kinase kinase 3 [Source:VGNC Symbol;Acc:VGNC:42961]",177.383863959653,0.565845662359745,0.145441183762681,9.40001206003295e-06,0.00294547139854748
"ENSCAFG00000013833","IL16",488762,"interleukin 16 [Source:VGNC Symbol;Acc:VGNC:41941]",42.1519010457374,0.563619013830775,0.144151745916435,8.99225455725951e-06,0.00294547139854748
"ENSCAFG00000011895","PTAFR",487336,"platelet activating factor receptor [Source:VGNC Symbol;Acc:VGNC:45129]",30.5272745914239,0.547633748198953,0.139926763629982,8.99472476525227e-06,0.00294547139854748
"ENSCAFG00000003268","",NA,"",79.3371432484693,0.590027319790173,0.153286680720652,1.03237798552332e-05,0.00308705598099699
"ENSCAFG00000007149","FBLN7",483062,"fibulin 7 [Source:VGNC Symbol;Acc:VGNC:40753]",433.261823608821,0.483420832864268,0.12396572371432,1.14004927354638e-05,0.00332973926196954
"ENSCAFG00000015976","RASAL3",610409,"RAS protein activator like 3 [Source:VGNC Symbol;Acc:VGNC:45363]",69.9378081615966,0.727999959414349,0.193861789683613,1.20407581580224e-05,0.00343681549333189
"ENSCAFG00000018540","MYO1F",485011,"myosin IF [Source:VGNC Symbol;Acc:VGNC:43565]",94.601116519098,0.772381326976922,0.207540251442025,1.27289571513786e-05,0.00355251050809252
"ENSCAFG00000028848","JUNB",100856456,"JunB proto-oncogene, AP-1 transcription factor subunit [Source:VGNC Symbol;Acc:VGNC:42198]",239.790303582778,0.887066365396467,0.242378418772552,1.4277048996063e-05,0.00381500975194797
"ENSCAFG00000008723","SPI1",611255,"Spi-1 proto-oncogene [Source:VGNC Symbol;Acc:VGNC:52051]",81.8383306662992,0.700579927813212,0.188215695700416,1.41140003600971e-05,0.00381500975194797
"ENSCAFG00000019866","CDT1",479616,"chromatin licensing and DNA replication factor 1 [Source:VGNC Symbol;Acc:VGNC:39083]",69.9432440561319,0.851267702040745,0.233555882012617,1.52584228490756e-05,0.00393460238411497
"ENSCAFG00000000093","CCBE1",610092,"collagen and calcium binding EGF domains 1 [Source:VGNC Symbol;Acc:VGNC:38775]",15.041401713716,-0.730790828350915,0.19681605511074,1.5664473222848e-05,0.00393460238411497
"ENSCAFG00000009326","BPHL",478700,"biphenyl hydrolase like [Source:VGNC Symbol;Acc:VGNC:38503]",593.745572765163,0.374992307190945,0.0954514334927092,1.56558220310135e-05,0.00393460238411497
"ENSCAFG00000019470","TTC34",489618,"tetratricopeptide repeat domain 34 [Source:VGNC Symbol;Acc:VGNC:53470]",174.362982828665,0.633347049737127,0.170427919089738,1.61300097922705e-05,0.00397209398002205
"ENSCAFG00000014543","SH3TC1",488788,"SH3 domain and tetratricopeptide repeats 1 [Source:VGNC Symbol;Acc:VGNC:46135]",47.921125937909,0.98654788587105,0.27541965677688,1.74807690967849e-05,0.00422194190551003
"ENSCAFG00000023837","PTGFRN",475809,"prostaglandin F2 receptor inhibitor [Source:VGNC Symbol;Acc:VGNC:45148]",653.72548256998,0.421244347525248,0.11012680525168,1.95058876645613e-05,0.00462215930526839
"ENSCAFG00000017090","SPATA20",491082,"spermatogenesis associated 20 [Source:NCBI gene;Acc:491082]",252.438626464052,0.652873363320998,0.182483702767233,2.60345754738768e-05,0.00596099543645536
"ENSCAFG00000001965","DNAJB5",474753,"DnaJ heat shock protein family (Hsp40) member B5 [Source:VGNC Symbol;Acc:VGNC:51709]",1102.97008477667,0.359646404720854,0.0941256916533674,2.61051635484549e-05,0.00596099543645536
"ENSCAFG00000009277","DCLRE1B",606778,"DNA cross-link repair 1B [Source:VGNC Symbol;Acc:VGNC:39807]",320.456022116594,0.300578943783183,0.077291755817627,2.7089448261046e-05,0.00607529251268709
"ENSCAFG00000028636","IGFBP6",607374,"insulin like growth factor binding protein 6 [Source:VGNC Symbol;Acc:VGNC:41907]",280.205272558449,0.827201578726835,0.239179714480426,3.18717111944115e-05,0.00700736084900394
"ENSCAFG00000017704","ARMCX3",492022,"armadillo repeat containing X-linked 3 [Source:VGNC Symbol;Acc:VGNC:54661]",1145.55988542082,0.277311315153283,0.0714272029038957,3.23614084912993e-05,0.00700736084900394
"ENSCAFG00000029218","NCR3LG1",102154898,"natural killer cell cytotoxicity receptor 3 ligand 1 [Source:VGNC Symbol;Acc:VGNC:52271]",19.0792329612071,-1.17258631195156,0.349116044716393,3.55492020661226e-05,0.00739308580767344
"ENSCAFG00000004966","MYD88",477024,"MYD88 innate immune signal transduction adaptor [Source:VGNC Symbol;Acc:VGNC:43531]",103.677967106975,0.579953264853199,0.164130084505297,3.59087693501139e-05,0.00739308580767344
"ENSCAFG00000009515","COX15",477792,"cytochrome c oxidase assembly homolog COX15 [Source:VGNC Symbol;Acc:VGNC:39535]",182.19161155217,-0.363803031584759,0.097342727567625,3.5800390411221e-05,0.00739308580767344
"ENSCAFG00000006655","ADGRD1",486229,"adhesion G protein-coupled receptor D1 [Source:VGNC Symbol;Acc:VGNC:52918]",344.977450942847,-0.34135567318594,0.0912976116189724,3.90235522604619e-05,0.00790478698127648
"ENSCAFG00000008731","COQ9",478110,"coenzyme Q9 [Source:VGNC Symbol;Acc:VGNC:39525]",666.592286401877,0.331182089441856,0.0884354482448572,4.05919617738901e-05,0.0080246914401585
"ENSCAFG00000008683",NA,NA,NA,3039.3027660176,0.304111685092059,0.080316735485616,4.08934033099884e-05,0.0080246914401585
