"ensembl_gene_id","external_gene_name","entrezgene_id","description"
"ENSCAFG00000000001","ENPP1",100856150,"ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:VGNC Symbol;Acc:VGNC:40374]"
"ENSCAFG00000000007","ADNP2",100686027,"ADNP homeobox 2 [Source:VGNC Symbol;Acc:VGNC:37663]"
"ENSCAFG00000000008","TXNL4A",476156,"thioredoxin like 4A [Source:VGNC Symbol;Acc:VGNC:48019]"
"ENSCAFG00000000009","SLC66A2",476157,"solute carrier family 66 member 2 [Source:VGNC Symbol;Acc:VGNC:44935]"
"ENSCAFG00000000010","CTDP1",476158,"CTD phosphatase subunit 1 [Source:VGNC Symbol;Acc:VGNC:39692]"
"ENSCAFG00000000011","NFATC1",483925,"nuclear factor of activated T cells 1 [Source:VGNC Symbol;Acc:VGNC:43766]"
"ENSCAFG00000000012","ATP9B",483926,"ATPase phospholipid transporting 9B (putative) [Source:NCBI gene;Acc:483926]"
"ENSCAFG00000000013","SALL3",607126,"spalt like transcription factor 3 [Source:VGNC Symbol;Acc:VGNC:49643]"
"ENSCAFG00000000016","MBP",476160,"myelin basic protein [Source:VGNC Symbol;Acc:VGNC:53736]"
"ENSCAFG00000000017","ZNF236",483929,"zinc finger protein 236 [Source:VGNC Symbol;Acc:VGNC:48678]"
"ENSCAFG00000000020","TSHZ1",NA,"teashirt zinc finger homeobox 1 [Source:VGNC Symbol;Acc:VGNC:47903]"
"ENSCAFG00000000021","ZADH2",476162,"zinc binding alcohol dehydrogenase domain containing 2 [Source:VGNC Symbol;Acc:VGNC:48511]"
"ENSCAFG00000000022","ZNF407",476164,"zinc finger protein 407 [Source:NCBI gene;Acc:476164]"
"ENSCAFG00000000024","CNDP1",476165,"carnosine dipeptidase 1 [Source:VGNC Symbol;Acc:VGNC:39391]"
"ENSCAFG00000000025","DIPK1C",NA,"divergent protein kinase domain 1C [Source:VGNC Symbol;Acc:VGNC:53716]"
"ENSCAFG00000000026","CYB5A",476167,"cytochrome b5 type A (microsomal) [Source:NCBI gene;Acc:476167]"
"ENSCAFG00000000027","",NA,""
"ENSCAFG00000000028","TIMM21",476170,"translocase of inner mitochondrial membrane 21 [Source:VGNC Symbol;Acc:VGNC:49031]"
"ENSCAFG00000000029","FBXO15",100685224,"F-box protein 15 [Source:VGNC Symbol;Acc:VGNC:40763]"
"ENSCAFG00000000031","NETO1",100855585,"neuropilin and tolloid like 1 [Source:VGNC Symbol;Acc:VGNC:43748]"
"ENSCAFG00000000032","CBLN2",NA,"cerebellin 2 precursor [Source:VGNC Symbol;Acc:VGNC:38762]"
"ENSCAFG00000000033","",NA,""
"ENSCAFG00000000036","SOCS6",100856303,"suppressor of cytokine signaling 6 [Source:VGNC Symbol;Acc:VGNC:56921]"
"ENSCAFG00000000037","RTTN",483940,"rotatin [Source:VGNC Symbol;Acc:VGNC:45800]"
"ENSCAFG00000000039","DOK6",476173,"docking protein 6 [Source:VGNC Symbol;Acc:VGNC:40060]"
"ENSCAFG00000000040","CCDC102B",483942,"coiled-coil domain containing 102B [Source:VGNC Symbol;Acc:VGNC:38776]"
"ENSCAFG00000000043","TMX3",476176,"thioredoxin related transmembrane protein 3 [Source:VGNC Symbol;Acc:VGNC:47644]"
"ENSCAFG00000000047","DSEL",NA,"dermatan sulfate epimerase like [Source:VGNC Symbol;Acc:VGNC:40104]"
"ENSCAFG00000000052","CDH19",483948,"cadherin 19 [Source:VGNC Symbol;Acc:VGNC:39027]"
"ENSCAFG00000000056","CDH7",483949,"cadherin 7 [Source:VGNC Symbol;Acc:VGNC:39034]"
"ENSCAFG00000000058","SERPINB8",607205,"serpin family B member 8 [Source:VGNC Symbol;Acc:VGNC:53976]"
"ENSCAFG00000000060","ITGA7",481097,"integrin subunit alpha 7 [Source:VGNC Symbol;Acc:VGNC:42129]"
"ENSCAFG00000000061","",106557465,"biogenesis of lysosomal organelles complex 1 subunit 1 [Source:NCBI gene;Acc:106557465]"
"ENSCAFG00000000063","RDH5",481098,"retinol dehydrogenase 5 [Source:VGNC Symbol;Acc:VGNC:45454]"
"ENSCAFG00000000064","CD63",474391,"CD63 molecule [Source:VGNC Symbol;Acc:VGNC:38967]"
"ENSCAFG00000000066","VPS4B",607306,"vacuolar protein sorting 4 homolog B [Source:VGNC Symbol;Acc:VGNC:48293]"
"ENSCAFG00000000067","KDSR",NA,"3-ketodihydrosphingosine reductase [Source:VGNC Symbol;Acc:VGNC:53728]"
"ENSCAFG00000000068","BCL2",403416,"BCL2 apoptosis regulator [Source:VGNC Symbol;Acc:VGNC:54274]"
"ENSCAFG00000000069","",100688632,"DnaJ heat shock protein family (Hsp40) member C14 [Source:NCBI gene;Acc:100688632]"
"ENSCAFG00000000070","PHLPP1",476179,"PH domain and leucine rich repeat protein phosphatase 1 [Source:VGNC Symbol;Acc:VGNC:44504]"
"ENSCAFG00000000071","",489926,"ORMDL sphingolipid biosynthesis regulator 2 [Source:NCBI gene;Acc:489926]"
"ENSCAFG00000000072","",606845,"transmembrane protein 198-like [Source:NCBI gene;Acc:606845]"
"ENSCAFG00000000073","ZCCHC2",476180,"zinc finger CCHC-type containing 2 [Source:VGNC Symbol;Acc:VGNC:48569]"
"ENSCAFG00000000075","TNFRSF11A",483957,"TNF receptor superfamily member 11a [Source:VGNC Symbol;Acc:VGNC:47654]"
"ENSCAFG00000000076","PYM1",481101,"PYM homolog 1, exon junction complex associated factor [Source:VGNC Symbol;Acc:VGNC:45228]"
"ENSCAFG00000000078","DGKA",100855691,"diacylglycerol kinase alpha [Source:VGNC Symbol;Acc:VGNC:39915]"
"ENSCAFG00000000079","RELCH",476181,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:VGNC Symbol;Acc:VGNC:42368]"
"ENSCAFG00000000080","PMEL",481102,"premelanosome protein [Source:VGNC Symbol;Acc:VGNC:44730]"
"ENSCAFG00000000082","CDK2",100855704,"cyclin dependent kinase 2 [Source:VGNC Symbol;Acc:VGNC:39051]"
"ENSCAFG00000000083","PIGN",476182,"phosphatidylinositol glycan anchor biosynthesis class N [Source:VGNC Symbol;Acc:VGNC:44538]"
"ENSCAFG00000000086","CDH20",483959,"cadherin 20 [Source:VGNC Symbol;Acc:VGNC:39029]"
"ENSCAFG00000000087","RAB5B",474394,"RAB5B, member RAS oncogene family [Source:VGNC Symbol;Acc:VGNC:45292]"
"ENSCAFG00000000088","SUOX",481103,"sulfite oxidase [Source:VGNC Symbol;Acc:VGNC:46988]"
"ENSCAFG00000000093","CCBE1",610092,"collagen and calcium binding EGF domains 1 [Source:VGNC Symbol;Acc:VGNC:38775]"
"ENSCAFG00000000094","LMAN1",476186,"lectin, mannose binding 1 [Source:VGNC Symbol;Acc:VGNC:42706]"
"ENSCAFG00000000097","ERBB3",481105,"erb-b2 receptor tyrosine kinase 3 [Source:VGNC Symbol;Acc:VGNC:54147]"
"ENSCAFG00000000100","SEC11C",404003,"SEC11 homolog C, signal peptidase complex subunit [Source:VGNC Symbol;Acc:VGNC:45961]"
"ENSCAFG00000000101","",610160,"O-acyltransferase like protein-like [Source:NCBI gene;Acc:610160]"
"ENSCAFG00000000102","PA2G4",474396,"proliferation-associated 2G4 [Source:VGNC Symbol;Acc:VGNC:82290]"
"ENSCAFG00000000103","ZNF532",476187,"zinc finger protein 532 [Source:VGNC Symbol;Acc:VGNC:48755]"
