"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.05488084213896e-181,0.770217054024582,1,1,1.32060532627377e-177,"0","RPS6"
4.08866124347769e-180,0.811358232075167,1,1,5.11859501070972e-176,"0","RPS12"
4.10726273542582e-164,0.683402704902528,1,0.999,5.14188221847959e-160,"0","RPL32"
4.28542500709758e-158,0.772635123278196,1,0.997,5.36492356638546e-154,"0","RPS27"
2.91312498164197e-155,0.681125305514874,1,0.999,3.64694116451758e-151,"0","RPS14"
5.10463790501314e-153,0.924931854266076,1,0.982,6.39049619328594e-149,"0","RPS3A"
1.11514155396046e-147,0.630799235314145,1,1,1.3960457114031e-143,"0","RPL13"
8.67912638435633e-146,0.837610257150246,1,0.987,1.08653983205757e-141,"0","RPL9"
1.50320367791609e-144,0.827465051519096,1,0.983,1.88186068438316e-140,"0","RPL31"
3.79157293049705e-143,0.699693637346537,1,0.999,4.74667015168925e-139,"0","RPL3"
6.56747262251513e-141,0.672290700035364,1,0.999,8.2218189761267e-137,"0","RPS3"
6.25121178506127e-135,0.794029844594055,1,0.987,7.82589203371821e-131,"0","RPS25"
1.50508856563856e-132,0.623338337355592,1,0.999,1.88422037532291e-128,"0","EEF1A1"
2.46164842847075e-132,0.668221827636438,1,0.999,3.08173766760254e-128,"0","RPLP2"
7.47056562989368e-131,1.2917412675358,0.949,0.561,9.35240111206389e-127,"0","LDHB"
2.10321605887469e-129,0.69691404353288,1,0.997,2.63301618410523e-125,"0","RPS15A"
5.30941649044189e-129,0.736729587178686,1,0.996,6.6468585043842e-125,"0","RPL21"
7.30518746287226e-121,0.588068711464262,1,1,9.14536418476978e-117,"0","RPS18"
8.88317277398866e-121,0.626583899759602,1,0.998,1.11208439957564e-116,"0","RPS4X"
2.50860011378139e-120,0.797911558766557,1,0.98,3.14051648244293e-116,"0","RPS13"
4.32140176081e-120,0.815713423909845,1,0.972,5.40996286435804e-116,"0","RPS27A"
8.22672329911545e-120,0.712125600920561,1,0.991,1.02990348981626e-115,"0","RPL30"
4.18435388075e-113,0.529818406725115,1,1,5.23839262331093e-109,"0","RPL13A"
1.66542667834138e-110,0.699056307032469,1,0.998,2.08494765861558e-106,"0","TPT1"
6.85316594450603e-108,0.638938564555955,1,0.992,8.5794784459271e-104,"0","RPS23"
7.1605246771344e-104,0.435390128174835,1,1,8.96426084330456e-100,"0","RPL10"
6.06098386713791e-102,0.48924708857926,1,0.999,7.58774570326995e-98,"0","RPL11"
3.32372470322966e-99,0.660213894940461,1,0.995,4.16097095597321e-95,"0","RPL10A"
2.49589292738626e-98,2.51676662297221,0.462,0.1,3.12460835579486e-94,"0","CCR7"
4.40405077051129e-98,0.605778530234113,1,0.992,5.51343115960308e-94,"0","RPL35A"
1.56896705281395e-97,0.668248912360798,1,0.982,1.96418985341779e-93,"0","RPS28"
2.94633791805617e-97,0.661545190245943,1,0.991,3.68852043961452e-93,"0","RPL5"
